Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
127305713,"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""1250866901""","=""9781250866905""",0,4.25,Wednesday Books,Hardcover,416,2024,2024,,2024/05/08,"to-read, fantasy","to-read (#116), fantasy (#71)",to-read,,,,0,0
115821328,Una familia casi perfecta,Jane Shemilt,"Shemilt, Jane",,"=""8412614577""","=""""",0,3.46,Newton Compton Editores,Kindle Edition,378,2023,2014,,2024/05/04,"to-read, thriller","to-read (#113), thriller (#26)",to-read,,,,0,0
54304221,How to Not Die Alone: The Surprising Science That Will Help You Find Love,Logan Ury,"Ury, Logan",,"=""1982120622""","=""9781982120627""",0,4.02,Simon & Schuster,Hardcover,352,2021,2021,,2022/05/08,"to-read, desarrollo","to-read (#5), desarrollo (#7)",to-read,,,,0,0
127609209,Corazón en fuera de juego,Nira Strauss,"Strauss, Nira",,"=""8408270591""","=""9788408270591""",0,3.98,Esencia,Paperback,400,2023,,,2024/01/11,"to-read, young-adult","to-read (#28), young-adult (#15)",to-read,,,,0,0
49392936,"Bookish and the Beast (Once Upon a Con, #3)",Ashley Poston,"Poston, Ashley",,"=""1683691938""","=""9781683691938""",0,3.78,Quirk Books,Hardcover,288,2020,2020,,2024/01/11,"to-read, young-adult","to-read (#29), young-adult (#14)",to-read,,,,0,0
203840597,"Powerful (The Powerless Trilogy, #1.5)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.30,Simon & Schuster Children's UK,Kindle Edition,192,2024,2024,,2024/04/23,"to-read, fantasy","to-read (#90), fantasy (#69)",to-read,,,,0,0
1099260,"Panteón (Memorias de Idhún, #3)",Laura Gallego,"Gallego, Laura",,"=""8467511486""","=""9788467511482""",0,4.09,SM,Hardcover,942,2006,2006,,2023/10/29,,,read,,,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",0,4.18,Tor Fantasy,Mass Market Paperback,638,2006,2005,,2024/01/23,,,read,,,,1,0
57933338,Violeta,Isabel Allende,"Allende, Isabel",Frances Riddle,"=""0593496205""","=""9780593496206""",0,4.03,Ballantine Books,Paperback,322,2022,2022,,2024/04/24,"historica, fisico, currently-reading","historica (#4), fisico (#3), currently-reading (#8)",currently-reading,,,,1,0
203141726,Keeping 13 (Los chicos de Tommen #2),Chloe Walsh,"Walsh, Chloe",Lorena Castell García,"=""8419746991""","=""9788419746993""",5,4.53,Montena,Paperback,704,2024,2018,2024/05/07,2024/03/18,young-adult,young-adult (#5),read,,,,1,0
30055560,El aliento de los dioses,Brandon Sanderson,"Sanderson, Brandon","Manuel de los Reyes, Rafael Marín Trechera","=""8466658874""","=""9788466658874""",4,4.30,Ediciones B/Nova,Hardcover,720,2016,2009,2024/05/06,2024/01/31,,,read,"4.5/5 ⭐️⭐️⭐️⭐️✨<br/><br/><br/>Me ha gustado muchisimo! Es cierto que al principio se me hizo un poco denso por la construcción del mundo y de la magia, pero una vez superada esa parte, he devorado el libro.",,,1,0
40846670,"Cielo infinito (El piso mil, #3)",Katharine McGee,"McGee, Katharine",,"=""8427213425""","=""9788427213425""",0,3.95,RBA Molino,Mass Market Paperback,544,2018,2018,,2024/05/04,"to-read, distopia","to-read (#115), distopia (#2)",to-read,,,,0,0
205147620,Una tormenta de té,Hafsah Faizal,"Faizal, Hafsah",Eva González,"=""8410163152""","=""9788410163157""",0,3.67,Editorial Hidra,Paperback,408,2024,2024,,2024/05/04,"to-read, fantasy","to-read (#114), fantasy (#70)",to-read,,,,0,0
44154465,"La quinta víctima (4MK Thriller, #2)",J.D. Barker,"Barker, J.D.",,"=""8423355683""","=""9788423355686""",0,4.33,Destino,Paperback,608,2019,2018,,2024/05/04,currently-reading,currently-reading (#7),currently-reading,,,,1,0
63910262,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,"Gillig, Rachel",,"=""0356519503""","=""9780356519500""",5,4.47,Orbit,Paperback,437,2023,2023,2024/05/01,2024/04/24,"fisico, fantasy","fisico (#4), fantasy (#43)",read,,,,1,0
199485796,Binding 13,Chloe Walsh,"Walsh, Chloe",Lorena Castell García,"=""8419357375""","=""9788419357373""",3,4.45,Montena,Paperback,656,2024,2018,2024/04/30,2024/04/24,young-adult,young-adult (#1),read,,,,1,0
204624472,"The Veiled Kingdom (The Veiled Kingdom, #1)",Holly Renee,"Renee, Holly",,"=""""","=""""",0,4.05,,Kindle Edition,364,2024,,,2024/04/28,"to-read, fantasy","to-read (#112), fantasy (#68)",to-read,,,,0,0
79331661,"La guía del mago frugal para sobrevivir en la Inglaterra del Medievo (Novela Secreta, #2)",Brandon Sanderson,"Sanderson, Brandon","Manu Viciano, Steve Argyle","=""8418037903""","=""9788418037900""",3,3.77,Nova,Hardcover,448,2023,2023,2024/04/27,2024/04/24,"fisico, fantasy","fisico (#2), fantasy (#42)",read,,,,1,0
62335396,"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.16,,Kindle Edition,665,2023,2023,,2024/04/27,"to-read, fantasy","to-read (#111), fantasy (#67)",to-read,,,,0,0
28698036,"Secret History (Mistborn, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.35,"Dragonsteel, LLC",Kindle Edition,160,2016,2016,,2024/04/24,"fantasy, to-read","fantasy (#66), to-read (#110)",to-read,,,,0,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",0,4.48,Tor Books,Hardcover,507,2022,2022,,2024/04/24,"to-read, fantasy","to-read (#109), fantasy (#65)",to-read,,,,0,0
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250166543""","=""9781250166548""",0,4.21,Tor Books,Hardcover,272,2017,2016,,2024/04/24,"to-read, fantasy","to-read (#108), fantasy (#64)",to-read,,,,0,0
13578175,The Emperor's Soul (The Cosmere),Brandon Sanderson,"Sanderson, Brandon",,"=""1616960922""","=""9781616960926""",0,4.38,Tachyon Publications,Paperback,192,2012,2012,,2024/04/24,"to-read, fantasy","to-read (#107), fantasy (#63)",to-read,,,,0,0
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""193857026X""","=""""",0,4.43,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,,2024/04/24,"to-read, fantasy","to-read (#106), fantasy (#62)",to-read,,,,0,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",0,4.28,Tor Books,Hardcover,383,2015,2015,,2024/04/24,"fantasy, to-read","fantasy (#61), to-read (#105)",to-read,,,,0,0
